Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
999,"Dictionary Entry: 999\n\nPronunciation: nine-nine-nine\n\nAlternate Spellings: None\n\nDefinition:\n1. Adjective:\n   a. Used to describe something that is highly intense, extreme, or excessive in nature.\n   b. Used to express a state of complete exhaustion, often after an arduous or physically demanding activity.\n\n2. Interjection:\n   a. Used to indicate surprise, shock, or disbelief.\n\nUsage:\n1. Adjective:\n   a. This durian is 999 spicy! I can't handle the heat!\n   b. After playing soccer for two hours straight, I am feeling 999 tired.\n\n2. Interjection:\n   a. 999! You won the lottery? That's incredible!\n   b. 999! I can't believe you managed to finish the entire buffet by yourself!\n\nNote: '999' is a commonly used term in Singlish and originates from the Singapore civil defense emergency hotline number, which is 999. Over time, Singaporeans have adapted this number to express extreme intensity or exhaustion, as well as to convey surprise or disbelief in certain situations.",Not sure (likely old fashioned),,,,,,,,,CC BY-SA 4.0,Wiktionary,TRUE
007,"Entry: 007\nPronunciation: ""Double-Oh-Seven""\n\nDefinition: \n007 is a common shorthand in Singlish for a person who is seen as sophisticated, charming, or suave. The term was popularized by the British spy character James Bond who has a license to kill and is often seen as cool, calm, and collected. It is commonly used to describe someone who is effortlessly smooth and confident, especially in romantic situations.\n\nExample:\n""Wow, look at him talking to all those girls like it's nothing. He thinks he's 007 or something.""\n\nNote:\nThe term is usually used in a lighthearted or humorous manner and should not be taken too seriously. It is not a positive label to be given to someone, as it can also suggest arrogance or an overly confident attitude.",Yes,,"007 is a common shorthand in Singlish for a person who is seen as sophisticated, charming, or suave. The term was popularized by the British spy character James Bond who has a license to kill and is often seen as cool, calm, and collected. It is commonly used to describe someone who is effortlessly smooth and confident, especially in romantic situations.","1. Wow, look at him talking to all those girls like it's nothing. He thinks he's 007 or something.",,,N,"d""Vbl= @U s""Ev@n",,,http://www.mysmu.edu/faculty/jacklee/,FALSE
1.5,"Sure, here's the dictionary entry for '1.5' in Singlish:\n\nWord: 1.5\nPart of Speech: Adjective\nPronunciation: wuhn-point-faiv\n\nDefinition:\n- Used to describe something that is not quite good enough or satisfactory.\n- Also used to describe something that is mediocre or average.\n- Derived from the numerical value 1.5 which is in between a passing grade of 2.0 and failing grade of 1.0.\n\nExample:\n""Your chicken rice is not bad lah, but it's still 1.5 only compared to the one at the hawker centre."" \n\nNote: 'lah' is a common Singlish particle used for emphasis.",No,,,,,,,"w""Vn p""OInt f""aIv",,,http://www.mysmu.edu/faculty/jacklee/,TRUE
11B,"11B\n\nPronunciation: /ˈɛlɛvən bi:/\n\nAlternate spellings: Nil\n\nDefinition:\n1. (Noun) A term used in Singapore to refer to the pink identification card issued by the Ministry of Defense (MINDEF) to male citizens and permanent residents upon completion of their mandatory National Service (NS). The 11B card serves as proof and recognition of an individual's completion of NS obligations and is required to be carried at all times for identification purposes.\n\nExample:\n""Hey bro, make sure to bring your 11B when we go out later, just in case we get stopped for any military checks.""\n\nUsage note:\nThe term '11B' is derived from the combination of two components: '11' represents the year an individual enlisted for NS (e.g., 11 for enlistees in 2011), and 'B' denotes the blood group of the individual. However, the blood group is no longer printed on the card itself since 2004. The 11B is a significant piece of identification for NSmen (National Service men) and is recognized as a symbol of a Singaporean's commitment and duty towards the nation.",Not sure (likely old fashioned),,,,,,,,,CC BY-SA 4.0,Wiktionary,TRUE
13th month,"Entry: 13th Month\n\nPronunciation: \ˌthərd ˈmən(t)th\\n\nAlternate Spelling: 13th Mth\n\nDefinition:\nThe term ""13th month"" is a colloquial expression commonly used in Singlish to refer to an additional month's salary or bonus received by employees in addition to their regular monthly pay. This bonus typically corresponds to one month's worth of salary and is often given out during the festive season, usually in December, as a token of appreciation for the employee's hard work throughout the year.\n\nExample:\n""Lucky lah, this year my boss gave us 13th month bonus! Extra money for Christmas shopping!""\n\nNote:\nThe term ""13th month"" is used in a non-literal sense, as it does not literally refer to a thirteenth month added to the calendar. It is important to remember that this expression is specific to Singapore and may not be widely understood outside of the local context.",Partial-pronunciation/etymology,,"The term ""13th month"" is a colloquial expression commonly used in Singlish to refer to an additional month's salary or bonus received by employees in addition to their regular monthly pay. This bonus typically corresponds to one month's worth of salary and is often given out during the festive season, usually in December, as a token of appreciation for the employee's hard work throughout the year.","""Lucky lah, this year my boss gave us 13th month bonus! Extra money for Christmas shopping!""",,,N,,English,CC BY-SA 4.0,Wiktionary,FALSE
302,"Sure! Here's the dictionary entry for '302':\n\n302 (noun): Refers to a person who is stingy or unwilling to spend money.\n\nPronunciation: three-oh-two\n\nExample usage:\n\n- ""Don't ask him to lend you money, he's a 302.""\n- ""She's always avoiding paying for her share, such a 302.""\n\nNotes: '302' is a slang term commonly used in Singapore and Malaysia, and is said to have originated from the police code for ""unwilling to pay"". The term is often used in a light-hearted manner and can be used to poke fun at a person's frugality.",No,,,,,,,"Tr\""i ""@U t""u",,,http://www.mysmu.edu/faculty/jacklee/,TRUE
a-jay,"Sure, here's the dictionary entry for ""a-jay"":\n\na-jay (adj.): Used to describe someone who is pretentious, showy or ostentatious in nature. \n\nExample: ""Don't be so a-jay lah, just because you drive a fancy car doesn't mean you're better than everyone else.""\n\nPronunciation: /ah-jay/ \n\nNote: This term is commonly used in Singapore and is derived from the Malay word ""ajaib"" which means 'marvelous' or 'amazing', but has taken on a negative connotation in Singlish.",No,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,TRUE
A&E,"Entry: A&E\n\nPronunciation: /ei-ən-dee/\n\nAlternate Spellings: Accident & Emergency, A and E, A-and-E\n\nDefinition:\nA&E is an abbreviation commonly used in Singapore to refer to the medical department known as ""Accident & Emergency."" It is a specialized department within a hospital that provides immediate and urgent medical care to individuals who are experiencing sudden illness, injuries, or emergencies.\n\nUsage Example:\n1. ""Uncle, I think you better go to A&E now. Your chest pain getting worse.""\n2. ""My son fell down and injured his arm. We rushed him to A&E for immediate treatment.""",Yes,,"A&E is an abbreviation commonly used in Singapore to refer to the medical department known as ""Accident & Emergency."" It is a specialized department within a hospital that provides immediate and urgent medical care to individuals who are experiencing sudden illness, injuries, or emergencies.","""Uncle, I think you better go to A&E now. Your chest pain getting worse.""
 ""My son fell down and injured his arm. We rushed him to A&E for immediate treatment.""",Accident & Emergency,,N,eI { n d i,English,CC BY-SA 4.0,Wiktionary,FALSE
AA,"Sure, here's the dictionary entry for ""AA"":\n\nAA (pronunciation: ""ah-ah"")\n\nDefinition:\n1. To describe someone or something as 'atas' or high class, often sarcastically or humorously.\n2. An abbreviation of ""Alcoholics Anonymous"".\n\nExample sentence:\n1. ""Eh, you wear your Gucci shoes to kopitiam? So AA lah."" \n2. ""I joined AA to help me overcome my addiction to alcohol.""\n\nNote: It is important to note that the pronunciation of ""AA"" is different when referring to Alcoholics Anonymous, as it is pronounced ""ey-ey"".",No,"AA"":\n\nDefinition:\n1. To describe someone or something as attracting attention\n2. An abbreviation of ""attract attention"".\n\nExample sentence:\n1. ""Eh, you wear your Gucci shoes to kopitiam? So AA lah."" The term is usually not used in with a positive connotation \n2. ","1. To describe someone or something as attracting attention
2. An abbreviation of ""attract attention"".","1. Eh, you wear your Gucci shoes to kopitiam? So AA lah.",,,V,"""eI ""eI",English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
AAAA,"Title: AAAA\n\nPart of Speech: Interjection\n\nPronunciation: [ah-ah-ah-ah]\n\nAlternate Spellings: None\n\nDefinition: \n\n1. The interjection ""AAAA"" is commonly used in Singlish to express surprise, exasperation, or frustration. It serves as an exaggerated expression to emphasize the speaker's emotions. \n\nExample:\n- ""AAAA! I forgot to bring my wallet!"" (expressing surprise)\n- ""AAAA, why is the bus so crowded today?"" (expressing frustration)\n\n2. In some cases, ""AAAA"" can also be used as a filler word when someone is struggling to find the right words or to fill a moment of silence during a conversation. Similar to other filler words in Singlish like ""lah"" or ""leh"", ""AAAA"" is used to maintain the flow of conversation without conveying any specific meaning.\n\nExample:\n- ""So, I went to the, uh, AAAA, supermarket yesterday lah, and you won't believe the prices!""\n\nNote: The use of ""AAAA"" is highly dependent on the speaker's tone of voice and facial expressions, making it a versatile interjection in conveying various emotions.",No,,,,,,,,,CC BY-SA 4.0,Wiktionary,TRUE
